timestamp,netin,netout,diskin,diskout,cpu,ram
2019-12-09 19:51:06,25,83,520,4410,31.3,68.8
2019-12-09 19:52:05,43,84,753,11399,31.9,68.9
2019-12-09 19:53:03,21,85,421,5587,31.0,69.0
2019-12-09 19:54:01,18,80,802,3801,29.8,69.1
2019-12-09 19:55:00,40,114,6983,8586,32.5,69.9
2019-12-09 19:56:06,23,110,9411,9501,32.4,69.1
2019-12-09 19:57:04,56,118,2368,10189,32.0,69.0
2019-12-09 19:58:03,21,68,503,4100,30.2,69.1
2019-12-09 19:59:02,20,63,5624,4150,35.0,70.2
2019-12-09 20:00:00,157,9121,8526,6427,62.8,72.6
2019-12-09 20:01:03,252,12333,9540,9869,63.2,72.6
2019-12-09 20:02:05,167,10884,1105,38019,56.9,72.3
